,EV,ProbWind,Return,Profits,Percent Betted,Percent Correct,Lowest Marginal Profit,Lowest Profit Game Number
0,0,89.99999999999999,10.329060620139222,11072.752984789246,0.8715447154471545,0.41884328358208955,-1663.6996825217252,48
1,0,70.0,12.935295578249704,13168.130898658199,0.8276422764227642,0.4194499017681729,-1691.477460299503,48
2,0,50.0,15.655316788165818,13667.091556068759,0.7097560975609756,0.427262313860252,-1033.1441269661696,48
3,0,29.999999999999993,10.715425584006875,6493.547903908166,0.4926829268292683,0.43234323432343236,-1423.7827390001305,98
4,4,89.99999999999999,11.914399981118045,10985.076782590837,0.7495934959349594,0.40238611713665945,-1558.6491774712201,52
5,4,70.0,14.77820303772834,12990.040470163212,0.7146341463414634,0.4072810011376564,-1586.426955248998,52
6,4,50.0,17.944020803222585,13601.56776884272,0.616260162601626,0.4182058047493404,-988.699682521725,52
7,4,29.999999999999993,14.148327317829139,7498.613478449443,0.43089430894308944,0.4320754716981132,-1585.9505711679626,184
8,8,89.99999999999999,13.12119222182457,10601.923315234253,0.656910569105691,0.38366336633663367,-1292.1173271173272,52
9,8,70.0,16.340110548068456,12565.545011464643,0.6252032520325204,0.39011703511053314,-1319.895104895105,52
10,8,50.0,18.907150233708492,12592.162055649855,0.5414634146341464,0.4024024024024024,-922.1678321678322,52
11,8,29.999999999999993,14.741038999023829,6913.547290542176,0.38130081300813007,0.42217484008528783,-1794.3356643356644,184
12,12,89.99999999999999,11.546182153534561,8197.789329009538,0.5772357723577236,0.3563380281690141,-1287.727272727273,52
13,12,70.0,15.638581417416324,10618.596782425684,0.5520325203252032,0.36524300441826213,-1287.727272727273,52
14,12,50.0,19.581666701389615,11514.020020417094,0.47804878048780486,0.3826530612244898,-990.0,52
15,12,29.999999999999993,14.633574663654162,5941.23131344359,0.3300813008130081,0.4064039408866995,-2140.0,184
16,16,89.99999999999999,15.365782974804286,9480.688095454245,0.5016260162601626,0.34846029173419774,-1339.3939393939395,52
17,16,70.0,19.36169393639906,11500.846198221043,0.48292682926829267,0.35858585858585856,-1339.3939393939395,52
18,16,50.0,23.408112872127255,12055.178129145535,0.4186991869918699,0.38058252427184464,-1100.0,52
19,16,29.999999999999993,16.806427603529052,5899.056088838697,0.28536585365853656,0.4017094017094017,-2095.0,184
